1. Max Holmes, Nasiah Wanganeen-Milera, Mitch Owens, Tom Atkins
2. Mitchell Edwards, Cooper Sharman, Mark O'Connor, Jack Higgins
3. Tom Stewart, Mitch Owens, Jack Higgins, Darcy Wilson
4. Nasiah Wanganeen-Milera, Cooper Sharman, Liam Ryan, Oliver Wiltshire
5. Oisin Mullin, Jack Higgins, Bradley Hill, James Worpel
6. Max Holmes, Oliver Dempsey, Oliver Wiltshire, Brad Close
7. Rowan Marshall, Bradley Hill, Jack Henry, Mattaes Phillipou
8. Oliver Dempsey, Liam O'Connell, Callum Wilkie, Liam Henry
9. Rowan Marshall, Mark O'Connor, Brad Close, Callum Wilkie
10. Darcy Wilson, Shaun Mannagh, Patrick Dangerfield, Oliver Henry
11. Sam De Koning, Callum Wilkie, Oliver Henry, Campbell Lake
12. Mitchell Edwards, Zach Guthrie, Jack Higgins, Marcus Windhager
13. Mitchell Edwards, Mason Wood, Jack Higgins, Bradley Hill
14. Rowan Marshall, Liam O'Connell, Oliver Wiltshire, Shaun Mannagh
15. Oisin Mullin, Mark O'Connor, Patrick Dangerfield, Campbell Lake
16. Oisin Mullin, Liam Stocker, Patrick Dangerfield, Jack Henry
17. Liam Ryan, Jack Higgins, Tobie Travaglia, Campbell Lake
18. Ryan Byrnes, Patrick Dangerfield, Callum Wilkie, Jack Henry
19. Mitchell Edwards, Cooper Sharman, Anthony Caminiti, Mattaes Phillipou
20. Liam O'Connell, Shaun Mannagh, Brad Close, Mattaes Phillipou
21. Oisin Mullin, Tom Stewart, Cooper Sharman, Gryan Miers
22. Oliver Dempsey, Liam O'Connell, Shaun Mannagh, Jack Silvagni
23. Sam De Koning, Liam Stocker, Tobie Travaglia, Hunter Clark
24. Oisin Mullin, Liam Ryan, Callum Wilkie, Oliver Henry
25. Zach Guthrie, Mark O'Connor, James Worpel, Mattaes Phillipou
26. Darcy Wilson, Gryan Miers, Callum Wilkie, Oliver Henry
27. Tom Stewart, Connor O'Sullivan, Darcy Wilson, Hunter Clark
28. Mitchell Edwards, Max Holmes, Brad Close, Jhye Clark
29. Hugo Garcia, Tom Stewart, Oliver Wiltshire, Jhye Clark
30. Sam De Koning, Tom Atkins, Jack Henry, Oliver Henry
31. Mitch Owens, Jay Polkinghorne, James Worpel, Campbell Lake
32. Tom Stewart, Connor O'Sullivan, Bailey Smith, Gryan Miers
33. Hugo Garcia, Nasiah Wanganeen-Milera, Sam De Koning, Gryan Miers
34. Oisin Mullin, Zach Guthrie, Hunter Clark, Campbell Lake
35. Mitch Owens, Shaun Mannagh, Liam Stocker, Jay Polkinghorne
36. Rowan Marshall, Bradley Hill, Shannon Neale, Mattaes Phillipou
37. Rowan Marshall, Oliver Dempsey, Ryan Byrnes, Hunter Clark
38. Cooper Sharman, Mark O'Connor, Shaun Mannagh, Liam Stocker
39. Rowan Marshall, Marcus Windhager, Jay Polkinghorne, Oliver Henry
40. Connor O'Sullivan, Oliver Dempsey, Patrick Dangerfield, James Worpel
41. Connor O'Sullivan, Sam De Koning, Lawson Humphries, Oliver Wiltshire
42. Ryan Byrnes, Tobie Travaglia, Hunter Clark, James Worpel
43. Nasiah Wanganeen-Milera, Bailey Smith, Brad Close, Bradley Hill
44. Mitchell Edwards, Liam O'Connell, Ryan Byrnes, Jhye Clark
45. Zach Guthrie, Oliver Wiltshire, Jay Polkinghorne, Jack Henry
46. Jack Higgins, Marcus Windhager, Patrick Dangerfield, Callum Wilkie
47. Max Holmes, Sam De Koning, Max Hall, Jay Polkinghorne
48. Cooper Sharman, Max Hall, Shannon Neale, Jay Polkinghorne
49. Rowan Marshall, Sam De Koning, Darcy Wilson, Oliver Henry
50. Oliver Dempsey, Liam Stocker, Anthony Caminiti, Shannon Neale
51. Tom Stewart, Liam Ryan, Hunter Clark, Liam Henry
52. Anthony Caminiti, Tom Atkins, Liam Henry, Oliver Henry
53. Connor O'Sullivan, Bailey Smith, Jhye Clark, Jack Henry
54. Marcus Windhager, Ryan Byrnes, Callum Wilkie, Jack Henry
55. Hugo Garcia, Liam Stocker, Tobie Travaglia, Jack Henry
56. Rowan Marshall, Tom Stewart, Jay Polkinghorne, Hunter Clark
57. Mitchell Edwards, Marcus Windhager, Liam Stocker, Campbell Lake
58. Oisin Mullin, Marcus Windhager, Brad Close, Callum Wilkie
59. Tom Stewart, Max Hall, Patrick Dangerfield, Tom Atkins
60. Rowan Marshall, Mason Wood, Zach Guthrie, James Worpel
61. Oisin Mullin, Liam Stocker, Callum Wilkie, Tobie Travaglia
62. Rowan Marshall, Liam Stocker, Brad Close, James Worpel
63. Cooper Sharman, Mark O'Connor, Brad Close, Oliver Henry
64. Tom Stewart, Connor O'Sullivan, Marcus Windhager, Liam Stocker
65. Zach Guthrie, Jack Higgins, Bradley Hill, Jack Silvagni
66. Connor O'Sullivan, Gryan Miers, Shaun Mannagh, Campbell Lake
67. Hugo Garcia, Mitch Owens, Shaun Mannagh, Jhye Clark
68. Connor O'Sullivan, Jhye Clark, Hunter Clark, Campbell Lake
69. Connor O'Sullivan, Lawson Humphries, Oliver Dempsey, Mattaes Phillipou
70. Oisin Mullin, Sam De Koning, Liam Ryan, Shannon Neale
71. Nasiah Wanganeen-Milera, Oliver Wiltshire, Jhye Clark, Oliver Henry
72. Rowan Marshall, Mitch Owens, Marcus Windhager, Liam Henry
73. Liam Stocker, Anthony Caminiti, Shannon Neale, Mattaes Phillipou
74. Hugo Garcia, Mason Wood, Lawson Humphries, Mattaes Phillipou
75. Jack Higgins, Liam O'Connell, Shannon Neale, Jack Silvagni
76. Nasiah Wanganeen-Milera, Cooper Sharman, Mark O'Connor, Anthony Caminiti
77. Hugo Garcia, Connor O'Sullivan, Cooper Sharman, Ryan Byrnes
78. Zach Guthrie, Shaun Mannagh, Patrick Dangerfield, Callum Wilkie
79. Cooper Sharman, Mark O'Connor, Bailey Smith, Shannon Neale
80. Nasiah Wanganeen-Milera, Shaun Mannagh, Jay Polkinghorne, James Worpel
81. Liam O'Connell, Marcus Windhager, Ryan Byrnes, Shaun Mannagh
82. Oisin Mullin, Liam Ryan, Marcus Windhager, Tobie Travaglia
83. Mitch Owens, Liam Ryan, Bailey Smith, Oliver Henry
84. Rowan Marshall, Max Holmes, Lawson Humphries, Oliver Wiltshire
85. Oisin Mullin, Oliver Wiltshire, Anthony Caminiti, Jhye Clark
86. Mitchell Edwards, Zach Guthrie, Bailey Smith, Shaun Mannagh
87. Mitch Owens, Sam De Koning, Bradley Hill, Jack Silvagni
88. Sam De Koning, Zach Guthrie, Ryan Byrnes, Bradley Hill
89. Nasiah Wanganeen-Milera, Darcy Wilson, Callum Wilkie, Mattaes Phillipou
90. Rowan Marshall, Nasiah Wanganeen-Milera, Ryan Byrnes, Shannon Neale
91. Oisin Mullin, Sam De Koning, Jay Polkinghorne, Tom Atkins
92. Bailey Smith, Oliver Wiltshire, Shannon Neale, Jack Henry
93. Mitch Owens, Sam De Koning, Liam O'Connell, Jhye Clark
94. Oisin Mullin, Mason Wood, Ryan Byrnes, Mattaes Phillipou
95. Mark O'Connor, Liam Stocker, Tobie Travaglia, James Worpel
96. Cooper Sharman, Bradley Hill, Liam Henry, Oliver Henry
97. Zach Guthrie, Oliver Wiltshire, Ryan Byrnes, Liam Stocker
98. Max Holmes, Bailey Smith, Tom Atkins, Oliver Henry
99. Nasiah Wanganeen-Milera, Bailey Smith, Jay Polkinghorne, Jack Henry
100. Max Holmes, Oliver Dempsey, Darcy Wilson, Patrick Dangerfield
101. Nasiah Wanganeen-Milera, Cooper Sharman, Jack Henry, Campbell Lake
102. Liam O'Connell, Shaun Mannagh, Patrick Dangerfield, Oliver Henry
103. Jack Higgins, Gryan Miers, Shannon Neale, Callum Wilkie
104. Nasiah Wanganeen-Milera, Liam O'Connell, Bailey Smith, Liam Stocker
105. Oliver Wiltshire, Shaun Mannagh, Patrick Dangerfield, Jack Silvagni
106. Mason Wood, Mark O'Connor, Mattaes Phillipou, Oliver Henry
107. Oliver Wiltshire, Gryan Miers, Tobie Travaglia, Mattaes Phillipou
108. Sam De Koning, Mason Wood, Brad Close, Liam Henry
109. Connor O'Sullivan, Marcus Windhager, Gryan Miers, Jack Silvagni
110. Oisin Mullin, Liam Ryan, Oliver Dempsey, Jack Silvagni
111. Max Holmes, Jack Higgins, Darcy Wilson, James Worpel
112. Liam Ryan, Marcus Windhager, Shaun Mannagh, Patrick Dangerfield
113. Mark O'Connor, Bailey Smith, Jack Silvagni, Mattaes Phillipou
114. Rowan Marshall, Jack Higgins, Liam O'Connell, Oliver Henry
115. Mitchell Edwards, Oliver Wiltshire, Callum Wilkie, Oliver Henry
116. Max Holmes, Oisin Mullin, Oliver Dempsey, Ryan Byrnes
