Charlie Comben, Riley Hardeman, Caleb Windsor, Harvey Langford
Luke Davies-Uniacke, Matt Whitlock, Jake Bowey, Matthew Jefferson
Luke Davies-Uniacke, Cameron Zurhaar, Jake Bowey, Harvey Langford
Riley Hardeman, Josh Goater, Kade Chandler, Jake Bowey
Tristan Xerri, Cameron Zurhaar, Jack Steele, Jake Bowey
Luke Davies-Uniacke, Luke McDonald, Kade Chandler, Jake Lever
Charlie Comben, Luke McDonald, Caleb Windsor, Jacob van Rooyen
Tristan Xerri, Cameron Zurhaar, Bayley Fritsch, Blake Howes
Cameron Zurhaar, Cooper Harvey, Latrelle Pickett, Jake Bowey
Charlie Comben, Josh Goater, Kade Chandler, Koltyn Tholstrup
Jy Simpkin, Josh Goater, Jack Steele, Max Heath
Aidan Corr, Riley Hardeman, Caleb Windsor, Changkuoth Jiath
Dylan Stephens, Charlie Spargo, Ed Langdon, Daniel Turner
Colby McKercher, Nick Larkey, Trent Rivers, Jake Lever
Harry Sheezel, Charlie Spargo, Ed Langdon, Matthew Jefferson
Nick Larkey, Matt Whitlock, Jack Steele, Jake Bowey
Harry Sheezel, Charlie Comben, Blake Howes, Jake Lever
Colby McKercher, Cooper Harvey, Max Gawn, Jake Melksham
Luke Davies-Uniacke, Josh Goater, Max Gawn, Trent Rivers
Charlie Spargo, Matt Whitlock, Kade Chandler, Ed Langdon
Paul Curtis, Cameron Zurhaar, Caleb Windsor, Jake Lever
Aidan Corr, Luke McDonald, Jacob van Rooyen, Kysaiah Pickett
Finn O'Sullivan, Luke Parker, Bayley Fritsch, Joel Fitzgerald
Luke Parker, Jack Darling, Trent Rivers, Changkuoth Jiath
Aidan Corr, Paul Curtis, Ed Langdon, Joel Fitzgerald
Caleb Daniel, Dylan Stephens, Max Gawn, Latrelle Pickett
Cooper Trembath, Matt Whitlock, Jake Melksham, Koltyn Tholstrup
Cooper Trembath, Nick Larkey, Ed Langdon, Changkuoth Jiath
Finn O'Sullivan, Matt Whitlock, Caleb Windsor, Bayley Fritsch
Dylan Stephens, Cameron Zurhaar, Kade Chandler, Kysaiah Pickett
Harry Sheezel, Luke Davies-Uniacke, Matthew Jefferson, Max Heath
Finn O'Sullivan, Luke McDonald, Trent Rivers, Matthew Jefferson
Charlie Comben, Jy Simpkin, Tom Sparrow, Harvey Langford
