1. Isaac Heeney | Daniel Curtin | William Edwards | Braeden Campbell
2. Brodie Grundy | Alex Neal-Bullen | Harry Cunningham | Izak Rankine
3. Callum Mills | William Edwards | Izak Rankine | Hugo Hall-Kahan
4. Daniel Curtin | Alex Neal-Bullen | Josh Rachele | Jordan Dawson
5. Chad Warner | Izak Rankine | Brayden Cook | Logan McDonald
6. Isaac Heeney | Matt Roberts | Jordan Dawson | Josh Worrell
7. Lachlan McAndrew | Brayden Cook | Angus Sheldrick | James Peatling
8. Matt Roberts | Errol Gulden | Max Michalanney | Toby Murray
9. Lachlan McAndrew | Harry Cunningham | Josh Worrell | Max Michalanney
10. Hugo Hall-Kahan | James Rowbottom | Tom Papley | Malcolm Rosas
11. Darcy Fogarty | Max Michalanney | Malcolm Rosas | Luke Nankervis
12. Brodie Grundy | Dane Rampe | Izak Rankine | Isaac Cumming
13. Brodie Grundy | Jake Soligo | Izak Rankine | Brayden Cook
14. Lachlan McAndrew | Errol Gulden | Jordan Dawson | James Rowbottom
15. Chad Warner | Harry Cunningham | Tom Papley | Luke Nankervis
16. Chad Warner | Wayne Milera | Tom Papley | Angus Sheldrick
17. Josh Rachele | Izak Rankine | Ben Keays | Luke Nankervis
18. Jake Lloyd | Tom Papley | Max Michalanney | Angus Sheldrick
19. Brodie Grundy | Alex Neal-Bullen | Charlie Curnow | James Peatling
20. Errol Gulden | James Rowbottom | Josh Worrell | James Peatling
21. Chad Warner | Callum Mills | Alex Neal-Bullen | James Jordon
22. Matt Roberts | Errol Gulden | James Rowbottom | Mark Keane
23. Darcy Fogarty | Wayne Milera | Ben Keays | Zac Taylor
24. Chad Warner | Josh Rachele | Max Michalanney | Malcolm Rosas
25. Dane Rampe | Harry Cunningham | Logan McDonald | James Peatling
26. Hugo Hall-Kahan | James Jordon | Max Michalanney | Malcolm Rosas
27. Callum Mills | Tom McCartin | Hugo Hall-Kahan | Zac Taylor
28. Brodie Grundy | Isaac Heeney | Josh Worrell | Riley Bice
29. Sam Berry | Callum Mills | Jordan Dawson | Riley Bice
30. Darcy Fogarty | Braeden Campbell | Angus Sheldrick | Malcolm Rosas
31. William Edwards | James Borlase | Logan McDonald | Luke Nankervis
32. Callum Mills | Tom McCartin | Jai Serong | James Jordon
